Statistical profiling result from isolate-0xb2d6000-123903-v8.log, (183041 ticks, 9382 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     13    0.0%    0.0%  JS: *m.parenR.updateContext.m.braceR.updateContext /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:47566
     13    0.0%    0.0%  JS: *m.colon.updateContext /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:48545
     13    0.0%    0.0%  JS: *checkManaged /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:283887
     13    0.0%    0.0%  JS: *Q.inGenerator.get /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:12768
     13    0.0%    0.0%  Builtin: StringPrototypeStartsWith
     13    0.0%    0.0%  Builtin: SetIteratorPrototypeNext
     13    0.0%    0.0%  Builtin: CallWithArrayLike
     13    0.0%    0.0%  Builtin: ArrayPrototypeSlice
     13    0.0%    0.0%  Builtin: ArrayMap
     12    0.0%    0.0%  RegExp: next\/font|next\/dynamic|use server|use client|use cache {1}
     12    0.0%    0.0%  JS: +$.parseStatement /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:18415
     12    0.0%    0.0%  JS: *walkAssignmentExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1024449
     12    0.0%    0.0%  JS: *pe.parsePropertyValue /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:67576
     12    0.0%    0.0%  JS: *next /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:208918
     12    0.0%    0.0%  JS: *me.finishNode /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:76551
     12    0.0%    0.0%  JS: *addAllToSet /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:573080
     12    0.0%    0.0%  JS: *We.readNumber /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:112847
     12    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:187502
     12    0.0%    0.0%  Builtin: ObjectKeys
     12    0.0%    0.0%  Builtin: LoadICTrampoline
     11    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:988716
     11    0.0%    0.0%  JS: *pe.buildBinary /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:52585
     11    0.0%    0.0%  JS: *normalizeString node:path:92:25
     11    0.0%    0.0%  JS: *addAll /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1382565
     11    0.0%    0.0%  JS: *We.finishOp /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:110553
     11    0.0%    0.0%  JS: *<anonymous> :7:40
     11    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:180855
     11    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
     11    0.0%    0.0%  Builtin: EnqueueMicrotask
     11    0.0%    0.0%  Builtin: Construct_WithFeedback
     11    0.0%    0.0%  Builtin: AsyncFunctionAwait
     11    0.0%    0.0%  Builtin: ArraySome
